algo,wrapper,seed,status,wall_time_s,n_episodes,framework_overhead_pct,mean_p99_step_ms,mean_energy_j,peak_gpu_memory_mb,peak_memory_mb,final_reward,time_to_converge_steps,reason
a2c,duojoule,0,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with a2c
a2c,duojoule,1,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with a2c
a2c,duojoule,2,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with a2c
a2c,maxa,0,COMPLETED,87.18519625626504,1051,93.82063754582191,12.090036980807799,0.0015011000000000007,0.0,0.0,107.9,881,
a2c,maxa,1,COMPLETED,60.45514214411378,1031,93.23343220113838,2.9587289318442367,0.0015020400000000007,0.0,0.0,79.7,803,
a2c,maxa,2,COMPLETED,52.578081311658025,1112,93.51804044602345,0.9517434053122998,0.0014987800000000003,0.0,0.0,95.6,988,
a2c,maxp,0,COMPLETED,51.85662284679711,1051,93.44849443113085,0.9419864974915982,0.0015011000000000007,0.0,0.0,107.9,881,
a2c,maxp,1,COMPLETED,52.77742060832679,1031,93.70708181088258,0.9671049378812315,0.0015020400000000007,0.0,0.0,79.7,803,
a2c,maxp,2,COMPLETED,53.46160281635821,1112,93.75804736748779,0.9759717620909217,0.0014987800000000003,0.0,0.0,95.6,988,
a2c,r3,0,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with a2c
a2c,r3,1,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with a2c
a2c,r3,2,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with a2c
a2c,tetrarl,0,COMPLETED,52.47901180759072,1051,93.51465949112668,0.9472317434847356,0.0015011000000000007,0.0,0.0,107.9,881,
a2c,tetrarl,1,COMPLETED,52.74469577521086,1031,93.66793332929241,0.9591700509190562,0.0015020400000000007,0.0,0.0,79.7,803,
a2c,tetrarl,2,COMPLETED,53.74843049608171,1112,93.6732819820702,0.9785574115812778,0.0014987800000000003,0.0,0.0,95.6,988,
c51,duojoule,0,COMPLETED,2249.700052384287,742,96.71501427564634,8.939549624919904,0.0015435000000000006,0.0,0.0,72.1,132,
c51,duojoule,1,COMPLETED,2248.697283392772,598,96.69004278934366,9.248546715825796,0.0015368800000000005,0.0,0.0,84.7,113,
c51,duojoule,2,COMPLETED,2289.3294095359743,516,96.71408193115747,9.531490970402963,0.0015395800000000005,0.0,0.0,92.1,142,
c51,maxa,0,COMPLETED,1902.7552705593407,3092,96.96087572896084,9.205664228647947,0.0013302800000000005,0.0,0.0,343.0,133,
c51,maxa,1,COMPLETED,1957.4611066244543,473,96.94315445069466,9.358269888907678,0.0015203000000000007,0.0,0.0,90.9,133,
c51,maxa,2,COMPLETED,1954.193448735401,470,97.00603322901834,9.882039166986953,0.0015263600000000005,0.0,0.0,86.9,129,
c51,maxp,0,COMPLETED,2001.1624661758542,3092,97.12569988500543,9.519026912748824,0.0013302800000000005,0.0,0.0,343.0,133,
c51,maxp,1,COMPLETED,1950.4165780805051,473,97.00177234427487,8.902188148349525,0.0015203000000000007,0.0,0.0,90.9,133,
c51,maxp,2,COMPLETED,1955.8531053438783,470,96.88313804051936,9.917571209371124,0.0015263600000000005,0.0,0.0,86.9,129,
c51,r3,0,COMPLETED,2273.1159581448883,742,96.70595134115963,9.657864402979621,0.0015435000000000006,0.0,0.0,72.1,132,
c51,r3,1,COMPLETED,2229.32618428953,598,96.60678418052642,10.026703793555514,0.0015368800000000005,0.0,0.0,84.7,113,
c51,r3,2,COMPLETED,2280.765361694619,516,96.59810808760358,9.629057478159678,0.0015395800000000005,0.0,0.0,92.1,142,
c51,tetrarl,0,COMPLETED,1963.785080447793,3092,97.00470618878856,9.787311907857665,0.0013302800000000005,0.0,0.0,343.0,133,
c51,tetrarl,1,COMPLETED,1998.1023875512183,473,96.94776468534903,9.792123213410383,0.0015203000000000007,0.0,0.0,90.9,133,
c51,tetrarl,2,COMPLETED,1943.6161221135408,470,96.91842303216801,10.295305754989387,0.0015263600000000005,0.0,0.0,86.9,129,
ddqn,duojoule,0,COMPLETED,725.6435480304062,573,74.525931398632,0.5684239789843576,0.0015253800000000004,0.0,0.0,74.8,175,
ddqn,duojoule,1,COMPLETED,734.4586678408086,381,73.16143156273979,1.674410030245796,0.0015123200000000006,0.0,0.0,464.7,364,
ddqn,duojoule,2,COMPLETED,740.9470350407064,673,72.9569162581838,0.7651167921721992,0.0014682400000000004,0.0,0.0,364.6,156,
ddqn,maxa,0,COMPLETED,173.15118793584406,275,77.7773426620417,0.36537678912281996,0.0014913000000000005,0.0,0.0,421.4,250,
ddqn,maxa,1,COMPLETED,177.35790323093534,530,77.98376260946428,0.373954251408577,0.0015167000000000004,0.0,0.0,69.1,224,
ddqn,maxa,2,COMPLETED,174.77837590500712,363,77.9639194221793,0.367107167840004,0.0015097800000000003,0.0,0.0,22.7,287,
ddqn,maxp,0,COMPLETED,176.47116947174072,275,78.69817784057949,0.3730564750730992,0.0014913000000000005,0.0,0.0,421.4,250,
ddqn,maxp,1,COMPLETED,176.30885862372816,530,77.73219980238783,0.3682579845190048,0.0015167000000000004,0.0,0.0,69.1,224,
ddqn,maxp,2,COMPLETED,175.81811900809407,363,77.28486599746235,0.3668169490993024,0.0015097800000000003,0.0,0.0,22.7,287,
ddqn,r3,0,COMPLETED,725.0535845775157,573,73.57070757473802,1.095171887427576,0.0015253800000000004,0.0,0.0,74.8,175,
ddqn,r3,1,COMPLETED,738.3563528638333,381,73.7180466378925,2.193901129066953,0.0015123200000000006,0.0,0.0,464.7,364,
ddqn,r3,2,COMPLETED,731.7645064312965,673,73.49112310361184,1.4472624287009297,0.0014682400000000004,0.0,0.0,364.6,156,
ddqn,tetrarl,0,COMPLETED,191.02470639906824,275,77.54958136612575,0.3700784407556058,0.0014913000000000005,0.0,0.0,421.4,250,
ddqn,tetrarl,1,COMPLETED,194.5310977268964,530,78.31956822238529,0.6552326492965223,0.0015167000000000004,0.0,0.0,69.1,224,
ddqn,tetrarl,2,COMPLETED,191.62731519900262,363,77.91074940419355,0.646789390593768,0.0015097800000000003,0.0,0.0,22.7,287,
dqn,duojoule,0,COMPLETED,784.5064680017531,550,74.75374282933099,1.7702815867960733,0.0015244400000000004,0.0,0.0,144.8,494,
dqn,duojoule,1,COMPLETED,786.4788075834513,308,74.29544847219401,1.9347544945776471,0.0015073800000000002,0.0,0.0,291.9,190,
dqn,duojoule,2,COMPLETED,771.306110912934,347,74.33179474875014,2.3835406452417414,0.0014985200000000006,0.0,0.0,356.5,314,
dqn,maxa,0,COMPLETED,192.75213145650923,457,76.40953147823176,0.3821763023734094,0.0014834600000000002,0.0,0.0,117.4,215,
dqn,maxa,1,COMPLETED,190.18362883292139,518,75.57596244919208,0.37356996908783946,0.0014927400000000006,0.0,0.0,205.3,171,
dqn,maxa,2,COMPLETED,192.70317683182657,391,76.4098929320711,0.37635399028658884,0.0015107400000000007,0.0,0.0,130.8,349,
dqn,maxp,0,COMPLETED,191.57580832019448,457,77.08081307305359,0.38377944380044976,0.0014834600000000002,0.0,0.0,117.4,215,
dqn,maxp,1,COMPLETED,194.37626233696938,518,77.0012201918091,0.38614559918642055,0.0014927400000000006,0.0,0.0,205.3,171,
dqn,maxp,2,COMPLETED,190.3651828803122,391,76.2537615217511,0.37958631291985545,0.0015107400000000007,0.0,0.0,130.8,349,
dqn,r3,0,COMPLETED,775.5277396794409,550,74.49814479010874,2.060875408351437,0.0015244400000000004,0.0,0.0,144.8,494,
dqn,r3,1,COMPLETED,805.36105215922,308,74.2521021405991,2.0933638699352786,0.0015073800000000002,0.0,0.0,291.9,190,
dqn,r3,2,COMPLETED,778.4304274246097,347,74.41152365487062,2.2463820315897487,0.0014985200000000006,0.0,0.0,356.5,314,
dqn,tetrarl,0,COMPLETED,199.9265901427716,457,76.63112913214658,0.38604818284511605,0.0014834600000000002,0.0,0.0,117.4,215,
dqn,tetrarl,1,COMPLETED,192.38266822323203,518,76.49540883145009,0.37795152515172964,0.0014927400000000006,0.0,0.0,205.3,171,
dqn,tetrarl,2,COMPLETED,194.78587772883475,391,77.16731716839173,0.3911685198545456,0.0015107400000000007,0.0,0.0,130.8,349,
ppo,duojoule,0,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with ppo
ppo,duojoule,1,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with ppo
ppo,duojoule,2,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with ppo
ppo,maxa,0,COMPLETED,103.14813507162035,505,93.14599324583568,0.9814119711518293,0.0014966600000000004,0.0,0.0,223.1,455,
ppo,maxa,1,COMPLETED,105.89862316660583,574,93.44665096494485,1.0190727375447752,0.0015103200000000008,0.0,0.0,162.9,480,
ppo,maxa,2,COMPLETED,106.82218230329454,495,93.48774192928566,1.0258263535797598,0.0015007200000000005,0.0,0.0,179.3,440,
ppo,maxp,0,COMPLETED,103.49292112141848,505,93.22682424830113,0.9854085370898248,0.0014966600000000004,0.0,0.0,223.1,455,
ppo,maxp,1,COMPLETED,106.92003158293664,574,93.51340968267252,1.0464672930538657,0.0015103200000000008,0.0,0.0,162.9,480,
ppo,maxp,2,COMPLETED,106.19064505584538,495,93.42365837255592,1.0274248570203783,0.0015007200000000005,0.0,0.0,179.3,440,
ppo,r3,0,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with ppo
ppo,r3,1,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with ppo
ppo,r3,2,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with ppo
ppo,tetrarl,0,COMPLETED,104.57665891200304,505,93.26600353210583,1.010654829442501,0.0014966600000000004,0.0,0.0,223.1,455,
ppo,tetrarl,1,COMPLETED,104.7736472953111,574,93.3013775634161,1.0082269459962852,0.0015103200000000008,0.0,0.0,162.9,480,
ppo,tetrarl,2,COMPLETED,99.83751539327204,495,93.29011184032125,0.9599669836461545,0.0015007200000000005,0.0,0.0,179.3,440,
